year,datebegin,City,Country,Station area,Station type,AQI
2562,1/1/2562,Sofia,Bulgaria,Urban,Background,33.7
2562,2/1/2562,Sofia,Bulgaria,Urban,Background,13.6
2562,3/1/2562,Sofia,Bulgaria,Urban,Background,11.6
2562,4/1/2562,Sofia,Bulgaria,Urban,Background,12.3
2562,5/1/2562,Sofia,Bulgaria,Urban,Background,21.8
2562,6/1/2562,Sofia,Bulgaria,Urban,Background,17.3
2562,7/1/2562,Sofia,Bulgaria,Urban,Background,13.4
2562,8/1/2562,Sofia,Bulgaria,Urban,Background,22.8
2562,9/1/2562,Sofia,Bulgaria,Urban,Background,27.3
2562,10/1/2562,Sofia,Bulgaria,Urban,Background,49
2562,11/1/2562,Sofia,Bulgaria,Urban,Background,17.8
2562,12/1/2562,Sofia,Bulgaria,Urban,Background,12.8
2562,13/1/2562,Sofia,Bulgaria,Urban,Background,29.3
2562,14/1/2562,Sofia,Bulgaria,Urban,Background,30.6
2562,15/1/2562,Sofia,Bulgaria,Urban,Background,6.9
2562,16/1/2562,Sofia,Bulgaria,Urban,Background,6.5
2562,17/1/2562,Sofia,Bulgaria,Urban,Background,54.4
2562,18/1/2562,Sofia,Bulgaria,Urban,Background,127.8
2562,19/1/2562,Sofia,Bulgaria,Urban,Background,91.4
2562,20/1/2562,Sofia,Bulgaria,Urban,Background,26.6
2562,21/1/2562,Sofia,Bulgaria,Urban,Background,25.7
2562,22/1/2562,Sofia,Bulgaria,Urban,Background,13.8
2562,23/1/2562,Sofia,Bulgaria,Urban,Background,13.9
2562,24/1/2562,Sofia,Bulgaria,Urban,Background,9.3
2562,25/1/2562,Sofia,Bulgaria,Urban,Background,13.4
2562,26/1/2562,Sofia,Bulgaria,Urban,Background,19.3
2562,27/1/2562,Sofia,Bulgaria,Urban,Background,43.2
2562,28/1/2562,Sofia,Bulgaria,Urban,Background,56.1
2562,29/1/2562,Sofia,Bulgaria,Urban,Background,59.2
2562,30/1/2562,Sofia,Bulgaria,Urban,Background,25.2
2562,31/1/2562,Sofia,Bulgaria,Urban,Background,20.7
2562,1/2/2562,Sofia,Bulgaria,Urban,Background,13.1
2562,2/2/2562,Sofia,Bulgaria,Urban,Background,40.4
2562,3/2/2562,Sofia,Bulgaria,Urban,Background,26.8
2562,4/2/2562,Sofia,Bulgaria,Urban,Background,25.7
2562,5/2/2562,Sofia,Bulgaria,Urban,Background,16.1
2562,6/2/2562,Sofia,Bulgaria,Urban,Background,7.6
2562,7/2/2562,Sofia,Bulgaria,Urban,Background,11
2562,8/2/2562,Sofia,Bulgaria,Urban,Background,16.4
2562,9/2/2562,Sofia,Bulgaria,Urban,Background,21.4
2562,10/2/2562,Sofia,Bulgaria,Urban,Background,37.3
2562,11/2/2562,Sofia,Bulgaria,Urban,Background,31.8
2562,12/2/2562,Sofia,Bulgaria,Urban,Background,5.5
2562,13/2/2562,Sofia,Bulgaria,Urban,Background,6.6
2562,14/2/2562,Sofia,Bulgaria,Urban,Background,12.3
2562,15/2/2562,Sofia,Bulgaria,Urban,Background,9.3
2562,16/2/2562,Sofia,Bulgaria,Urban,Background,12
2562,17/2/2562,Sofia,Bulgaria,Urban,Background,22
2562,18/2/2562,Sofia,Bulgaria,Urban,Background,41.6
2562,19/2/2562,Sofia,Bulgaria,Urban,Background,37.6
2562,20/2/2562,Sofia,Bulgaria,Urban,Background,32.8
2562,21/2/2562,Sofia,Bulgaria,Urban,Background,17.8
2562,22/2/2562,Sofia,Bulgaria,Urban,Background,18.6
2562,23/2/2562,Sofia,Bulgaria,Urban,Background,6.6
2562,24/2/2562,Sofia,Bulgaria,Urban,Background,10.1
2562,25/2/2562,Sofia,Bulgaria,Urban,Background,26.1
2562,26/2/2562,Sofia,Bulgaria,Urban,Background,19
